14:04:52.634 INFO   greatchess.board.Board - Доска проинициализированна успешно.
14:04:52.671 INFO   greatchess.functional.Field - Фигура R была размещена на клетке: A1
14:04:52.674 INFO   greatchess.functional.Field - Фигура Kn была размещена на клетке: B1
14:04:52.677 INFO   greatchess.functional.Field - Фигура B была размещена на клетке: C1
14:04:52.680 INFO   greatchess.functional.Field - Фигура V была размещена на клетке: D1
14:04:52.682 INFO   greatchess.functional.Field - Фигура G была размещена на клетке: E1
14:04:52.685 INFO   greatchess.functional.Field - Фигура K была размещена на клетке: F1
14:04:52.687 INFO   greatchess.functional.Field - Фигура Q была размещена на клетке: G1
14:04:52.687 INFO   greatchess.functional.Field - Фигура B была размещена на клетке: H1
14:04:52.687 INFO   greatchess.functional.Field - Фигура Kn была размещена на клетке: I1
14:04:52.687 INFO   greatchess.functional.Field - Фигура R была размещена на клетке: J1
14:04:52.688 INFO   greatchess.functional.Field - Фигура P была размещена на клетке: A2
14:04:52.688 INFO   greatchess.functional.Field - Фигура P была размещена на клетке: B2
14:04:52.689 INFO   greatchess.functional.Field - Фигура P была размещена на клетке: C2
14:04:52.689 INFO   greatchess.functional.Field - Фигура P была размещена на клетке: D2
14:04:52.689 INFO   greatchess.functional.Field - Фигура WM была размещена на клетке: E2
14:04:52.690 INFO   greatchess.functional.Field - Фигура WM была размещена на клетке: F2
14:04:52.690 INFO   greatchess.functional.Field - Фигура P была размещена на клетке: G2
14:04:52.690 INFO   greatchess.functional.Field - Фигура P была размещена на клетке: H2
14:04:52.690 INFO   greatchess.functional.Field - Фигура P была размещена на клетке: I2
14:04:52.690 INFO   greatchess.functional.Field - Фигура P была размещена на клетке: J2
14:04:52.693 INFO   greatchess.functional.Field - Клетка A3 пуста
14:04:52.693 INFO   greatchess.functional.Field - Клетка B3 пуста
14:04:52.694 INFO   greatchess.functional.Field - Клетка C3 пуста
14:04:52.694 INFO   greatchess.functional.Field - Клетка D3 пуста
14:04:52.694 INFO   greatchess.functional.Field - Фигура P была размещена на клетке: E3
14:04:52.694 INFO   greatchess.functional.Field - Фигура P была размещена на клетке: F3
14:04:52.694 INFO   greatchess.functional.Field - Клетка G3 пуста
14:04:52.694 INFO   greatchess.functional.Field - Клетка H3 пуста
14:04:52.694 INFO   greatchess.functional.Field - Клетка I3 пуста
14:04:52.694 INFO   greatchess.functional.Field - Клетка J3 пуста
14:04:52.695 INFO   greatchess.functional.Field - Клетка A4 пуста
14:04:52.695 INFO   greatchess.functional.Field - Клетка B4 пуста
14:04:52.695 INFO   greatchess.functional.Field - Клетка C4 пуста
14:04:52.695 INFO   greatchess.functional.Field - Клетка D4 пуста
14:04:52.695 INFO   greatchess.functional.Field - Клетка E4 пуста
14:04:52.695 INFO   greatchess.functional.Field - Клетка F4 пуста
14:04:52.695 INFO   greatchess.functional.Field - Клетка G4 пуста
14:04:52.696 INFO   greatchess.functional.Field - Клетка H4 пуста
